Type,Skin,Tier,Case,BattleScarred,Well-Worn,Field-Tested,Minimal-Wear,Factory-New,ST-Battle-Scarred,ST-Well-Worn,ST-Field-Tested,ST-Minimal-Wear,ST-Factory-New, Release Date,Wear-lowest,Wear-highest
AK,Ice Coaled,Classified,Recoil Case,14.81,22.15,26.83,48.7,84.33,26.05,39.72,41.36,85.02,166.05,July/1/2022,0,0.77
AK,Slate ,Restricted ,Snakebite Case,1.87,1.87,2.19,3.52,8.11,6.52,6.44,7.24,11.78,29.26,May/3/2021,0,1
AK,Asiimov,Covert ,Danger Zone Case,15.91,22,20.46,31,117.69,35.36,42.99,40.87,73.52,303.94,December/6/2018,0.05,0.7
AK,The Empress,Covert ,Spectrum 2 Case,13.97,15.11,18.16,28.91,71,32.32,36.49,47.29,75,189.77,September/14/2017,0,1
AK,Legion of Anubis,Covert ,Fracture Case,6.75,8.97,8.19,10.83,17.05,14.52,20.61,19.57,30.24,50.4,August/6/2020,0,0.7
AK,Phantom Disruptor,Classified ,Prisma 2 Case,3.7,4.63,4.09,5.49,7.62,9.11,10.79,9.23,13.49,23.41,March/31/2020,0,0.65
AK,Nightwish,Covert ,Dreams and Nightsmares Case,9.59,18.16,26.68,53.93,105.11,22.12,34.1,51.76,106.75,292.08,January/20/2022,0,1
AK,Vulcan,Covert ,Huntsman Weapon Case,38.25,63.23,110.82,237.14,399.49,69.53,113.62,181.03,455.17,845.1,May/1/2014,0,0.9
AK,Bloodsport,Covert ,Spectrum Case,NA,41.18,42.92,48.76,57.82,NA,79.54,90.58,112.23,149.52,March/15/2017,0,0.45
AK,Redline,Classified,Pheonix Case,7.47,8.56,10,44.92,NA,13.66,22.01,28.46,118.17,NA,February/20/2014,0.1,0.7
AK,Neon Revolution,Covert ,Gamma 2 Case,10.97,13.92,11.41,17.69,33.65,23.14,25.12,23.12,41.49,89.7,August/18/16,0,0.8
AK,Neon Rider,Covert ,Horizon Case,17,23.95,23.94,42.7,81.24,35.1,44.47,51.87,102.96,223.13,August/1/2018,0,0.8
AK,Elite Build,Mil-Spec,Chroma 2 Case,0.63,0.67,0.93,1.35,3.33,2.24,2.3,3.11,4.72,14.29,April/15/2015,0,1
AK,Frontside Misty,Classified,Shadow Case,7.56,9.47,10,16.3,36.1,16.75,19.73,21.2,36.61,88.03,September/17/2015,0.02,0.87
AK,Point Dissaray,Classified,Revolver Case,7.26,9.38,8.24,11.84,19.79,14.83,19.27,17.64,31.96,59.91,December/11/2015,0,0.67
AK,Aquamarine Revenge,Covert ,Falchion Case,12.94,14.23,18.53,31.15,54.57,25.87,29.08,43.67,78.89,137.85,May/26/2015,0,1
AK,Case Hardended,Classified,CS:GO Weapon Case,77.41,88.39,112.86,134.95,187.9,121.38,163.56,185.3,244.62,345,August/14/2013,0,1
AK,Leet Museo,Covert ,Operation Riptide,11.77,13.23,12.38,17.23,28.62,28.62,34.26,29.49,47.95,81.34,September/21/2021,0,0.65
AK,Fuel Injector,Covert ,Operation Wildfire,44.93,55.54,76.97,111.08,215.53,80.07,107.5,161.65,257.45,488.96,February/17/2016,0,1
AK,Uncharted,Mil-Spec,Prisma Case,0.28,0.54,0.29,0.49,1.09,1.77,2.64,1.59,2,4.11,March/19/2019,0,0.75
AK,Blue Laminate,Restricted ,eSports 2013 Winter Case,NA,6.65,5.4,5.74,6.56,NA,15.69,12.56,13.24,17.64,December/18/2013,0.02,0.4
AK,Rat Rod,Restricted ,Shattered Web Case,2.25,2.25,2.48,3.33,6.24,6.56,6.56,6.92,8.73,19.27,November/18/2019,0,1
